3154078b-0d2e-4086-908a-79cc24496219,96,90,,,,,3325,,,,,,,,,2 graczy,3 graczy,4 graczy,5 graczy,all
07c8c336-33dd-40cb-8c43-3944203b6463,107,104,,,,,,,,,,,,,,,,,,
ddb54f3d-a2d3-41ce-96fe-ae4a161e783a,87,78,,,,,,,,,,,,,,,,,,
5b026f3f-c882-4cfc-9968-cecbdba99222,98,94,,,,,,,,,,,,,,,,,,
23df14b1-9769-4a8e-b2b0-6bdb0e5f056b,107,129,,,,,,,,,,,,,,,,,,
f96ab57d-fc65-4650-85d8-b91b26debbc5,87,88,,,,,,,,,,,,,,,,,,
1fdbcd8a-99d2-4015-a6dd-ff3f328cfaff,109,111,,,,,,,,,,,,,,,,,,
35d2f331-a2dd-4efd-b375-b2cdaa0da34d,94,108,,,,,,,,,,,,,,,,,,
8bda45d2-0021-4d20-accb-8eea0b29aded,99,95,,,,,,,,,,,,,,,,,,
57d36a05-48f6-4599-a523-ab61a8ac5b6a,95,120,,,,,,,,,,,,,,,,,,
fail 2 in turn: 46,,,,,,,,,,,,,,,,,,,,
50638409-a24f-49e9-ae32-6dcbc8be3e03,104,83,,,,,,,,,,,,,,,,,,
5036ee38-0ae6-4ce0-93e1-942e954d6542,113,115,,,,,,,,,,,,,,,,,,
2c718bd8-4e41-48a8-b9f6-5b90fa163ade,94,109,,,,,,,,,,,,,,,,,,
a93c6c27-cfb2-4f76-8635-4df2e26c2f07,93,104,,,,,,,,,,,,,,,,,,
9a1a077a-3d4d-491f-a56a-fd638fb6f911,101,91,,,,,,,,,,,,,,,,,,
27dbcbdd-d6aa-4b40-adb7-4403fde4e291,148,123,,,,,,,,,,,,,,,,,,
987f840f-ea4d-4d07-a17a-07c46282a4c3,106,92,,,,,,,,,,,,,,,,,,
23da2c93-3e47-4f6f-92b8-a587740e2018,105,113,,,,,,,,,,,,,,,,,,
3a43007a-9ecd-4d9c-b2c7-65f5dc82028a,108,110,,,,,,,,,,,,,,,,,,
dcc8f9cb-105f-4b39-af3a-d8a737bc1179,103,100,,,,,,,,,,,,,,,,,,
fb28a0a2-522b-4203-a606-df17b7bd1acc,133,133,,,,,,,,,,,,,,,,,,
1d5df7ce-ede8-445a-9ee8-08102838be50,114,107,,,,,,,,,,,,,,,,,,
9b59b5e9-1f08-496e-9d22-a0259dc49059,139,111,,,,,,,,,,,,,,,,,,
bada9165-f357-4ea1-862b-4ec5db665356,92,66,,,,,,,,,,,,,,,,,,
14a1a5e9-2136-4a33-9379-40b1c794629e,125,121,,,,,,,,,,,,,,,,,,
c4f1f129-4b33-40dd-a72b-3779655b9dcb,134,116,,,,,,,,,,,,,,,,,,
984ba0f9-dbd6-4828-bfb5-a7208f1d3281,82,96,,,,,,,,,,,,,,,,,,
362e8d5d-deb3-4934-ae9e-8c350c02e32e,149,114,,,,,,,,,,,,,,,,,,
aee1d27f-5d17-4e55-a1fb-4fbef4afdaf6,133,147,,,,,,,,,,,,,,,,,,
8a161c33-ef70-43df-8961-b3671591ebd1,109,116,,,,,,,,,,,,,,,,,,
95b3b043-ee98-4e73-a855-85aaedcf70d0,97,99,,,,,,,,,,,,,,,,,,
b4e715b5-7106-49e7-a503-87684466d279,88,95,107,,,,,,,,,,,,,,,,,
fail 3 in turn: 45,,,,,,,,,,,,,,,,,,,,
d0a5c5e2-745c-457f-a9b0-9cf4032fdcdb,116,116,107,,,,,,,,,,,,,,,,,
db863d17-057e-437e-8fae-87ce04a381d1,91,120,86,,,,,,,,,,,,,,,,,
212436ef-fe4a-4eb8-8791-1cdb5c243e5c,91,101,94,,,,,,,,,,,,,,,,,
65fba576-7b60-4196-882c-7cd9599dc22a,109,120,96,,,,,,,,,,,,,,,,,
98e49ab4-065e-44ce-946c-2f8d941f4802,78,92,114,,,,,,,,,,,,,,,,,
5d4a65e6-7cf7-4a6b-acae-4db41b95bdf3,77,82,88,,,,,,,,,,,,,,,,,
dda8bf61-d9b3-41a8-867b-9f7805ebb0a7,110,84,133,,,,,,,,,,,,,,,,,
5e29c991-8190-4cd8-9c33-92eaef0124e3,104,113,121,,,,,,,,,,,,,,,,,
fc272068-07df-4d73-bf6b-c4ca80ddcef0,65,94,119,,,,,,,,,,,,,,,,,
5f4af37f-d1e5-4c12-92a0-7be850e336f2,109,106,117,,,,,,,,,,,,,,,,,
30fd10be-c64e-422e-841c-97b08ce8baff,79,77,102,,,,,,,,,,,,,,,,,
41c55539-56c7-4d55-ad64-9a5c01c9565a,115,96,87,,,,,,,,,,,,,,,,,
85b6b484-a5b2-4cc5-8013-d39f574b6674,96,125,97,,,,,,,,,,,,,,,,,
2a9a1110-841d-4380-b854-3d9a744a5d9a,122,71,77,,,,,,,,,,,,,,,,,
14f0f260-fb5e-4467-a3ff-e301a63f5e1c,118,116,83,,,,,,,,,,,,,,,,,
1b31bdcf-9c7f-458c-9e29-3b484c6b6188,84,79,111,,,,,,,,,,,,,,,,,
dcd335fc-35c7-491c-98b0-92fca20e10ae,107,88,105,,,,,,,,,,,,,,,,,
361e5759-2036-492b-843a-c8b1ee8dc77f,105,84,99,,,,,,,,,,,,,,,,,
2c30279f-1dad-46f2-8cd5-71a32b78dffa,103,112,81,,,,,,,,,,,,,,,,,
d0b6a1f0-093b-4836-ab1c-8031245ea3d4,103,87,110,,,,,,,,,,,,,,,,,
1188258f-2509-45c6-8b6d-49401ba4b64e,114,138,122,,,,,,,,,,,,,,,,,
765da5a8-2c03-4131-95f8-e69092c2cd81,129,112,106,,,,,,,,,,,,,,,,,
120275d9-c9ce-4242-9476-3fa0a2ac14d1,94,123,104,,,,,,,,,,,,,,,,,
354375d1-3213-460b-a9a8-8d2e5b6db285,82,91,83,,,,,,,,,,,,,,,,,
29f07896-6f79-4a95-a335-5f7a3fdda3be,106,137,106,,,,,,,,,,,,,,,,,
c0f9b57d-73d4-43b9-acb8-558ce0af97fd,104,99,106,,,,,,,,,,,,,,,,,
79b5f62e-b457-4098-ad19-947cd67d5571,87,124,132,,,,,,,,,,,,,,,,,
5000e1f2-3972-4c95-8a13-61ffae7ce636,98,116,107,,,,,,,,,,,,,,,,,
019c37b4-5aaa-4a8c-838c-9f7ac5a3b2c4,133,98,108,,,,,,,,,,,,,,,,,
de83882d-5313-4980-a1da-12b2bfc0df24,102,128,130,,,,,,,,,,,,,,,,,
17ca4eef-ee8f-40fc-8d66-f1ff7e8a0ece,104,110,109,,,,,,,,,,,,,,,,,
6a0e96d2-ea7d-4584-ad91-e224d00b7481,108,81,81,,,,,,,,,,,,,,,,,
a99b8059-adee-40c9-bcc1-5978e0da1ea6,79,109,98,,,,,,,,,,,,,,,,,
dcf13f8e-6ba0-40ac-a3cf-a871cde59e21,116,54,124,,,,,,,,,,,,,,,,,
1bcc5cae-457f-4a43-82e9-eb95f0b7c625,98,85,85,,,,,,,,,,,,,,,,,
5a64c465-b489-4833-b9fb-7bc0de1fa469,90,71,95,,,,,,,,,,,,,,,,,
12f6aead-10a8-4464-b32c-6b1fc0eaf41a,83,82,112,,,,,,,,,,,,,,,,,
9c700669-2bcd-4b05-ad9b-c835715d272a,80,89,120,,,,,,,,,,,,,,,,,
791757a2-f7d4-4e11-ac95-c246bcd77428,92,54,81,,,,,,,,,,,,,,,,,
1c945af2-ecd7-4930-9458-6808793fea98,111,119,111,,,,,,,,,,,,,,,,,
d1e50d9f-7e90-4fef-a824-86fa112fea9b,100,76,107,,,,,,,,,,,,,,,,,
d306754d-1513-4133-8891-177efdd71b21,93,110,95,,,,,,,,,,,,,,,,,
c04533e2-87b3-4b1a-b7bd-8ba6d79386e1,66,94,88,,,,,,,,,,,,,,,,,
0172f539-9119-4da8-9e10-6690f156fb95,93,52,108,,,,,,,,,,,,,,,,,
ac51ed66-73f7-44a9-bcef-321418b20dc6,83,98,113,,,,,,,,,,,,,,,,,
0a11f82a-7301-413a-83da-7a17e9751daa,95,79,106,,,,,,,,,,,,,,,,,
f128db59-05a4-488b-a765-6aaaf2ba1f2c,117,90,100,,,,,,,,,,,,,,,,,
8bcc427a-7759-4e4a-b438-0bc880550ea0,79,113,102,,,,,,,,,,,,,,,,,
9eebbc51-32d7-44cf-a4f1-841c3656b10e,103,118,105,,,,,,,,,,,,,,,,,
e104903c-4025-4fe2-b8cc-a0267b52cbaf,75,100,66,,,,,,,,,,,,,,,,,
411a88a9-8d2e-40dc-b0d7-9e4fb2d815e2,84,103,86,,,,,,,,,,,,,,,,,
46b1584d-f97e-45b1-a6b3-30b5c20c92e1,76,96,97,,,,,,,,,,,,,,,,,
06a7c08d-acca-4fb5-99fd-cef9b21e8a9b,115,96,95,,,,,,,,,,,,,,,,,
75193aa1-3dc4-4055-b38d-111652ae9c3e,103,109,91,,,,,,,,,,,,,,,,,
45958b5d-9959-4836-b776-0a0a85fe2925,113,127,100,,,,,,,,,,,,,,,,,
685db529-ad10-47cd-bf1d-65397dc96869,133,117,116,,,,,,,,,,,,,,,,,
207d092c-76f0-460d-b757-64b620991a85,125,120,98,,,,,,,,,,,,,,,,,
599e9b6a-a4cd-4333-9243-cc39e52cd3d6,93,107,109,,,,,,,,,,,,,,,,,
f52d95cc-6f43-4a3e-a836-6b4e8f73f0c6,100,99,76,,,,,,,,,,,,,,,,,
01d7e50b-2305-4e40-96ab-b95a435a9638,96,97,114,,,,,,,,,,,,,,,,,
01f8c70d-caf8-444c-bbca-198be4a1b7e1,93,64,106,,,,,,,,,,,,,,,,,
f21cea2d-945b-45e5-ada2-4eb717739ac5,146,103,107,,,,,,,,,,,,,,,,,
4f012f3b-cbf8-45cc-a6a2-03f563837d3d,89,129,112,,,,,,,,,,,,,,,,,
6c912205-5265-4b4e-9aeb-a4200f4fe102,92,73,131,,,,,,,,,,,,,,,,,
04871baa-5819-41d9-8676-4a7ad298fad9,74,53,103,,,,,,,,,,,,,,,,,
9e74df36-6b9c-4349-8704-a8e7ae49b19e,113,94,92,,,,,,,,,,,,,,,,,
55e0f6e8-6b79-4758-af2a-116a4ff980f1,102,37,112,,,,,,,,,,,,,,,,,
e8f39148-0903-49b4-a105-147c616043d9,101,91,123,,,,,,,,,,,,,,,,,
c2c7475e-b5fa-4a67-bc53-d73ecf48cda6,116,100,99,,,,,,,,,,,,,,,,,
4a63da0f-b63d-487b-af9d-a5b708be40f3,132,103,77,,,,,,,,,,,,,,,,,
baf81ebb-550c-428f-ada6-3f85283ed814,89,137,104,,,,,,,,,,,,,,,,,
37c76620-6549-4154-90e6-da40fa1abef2,84,91,108,,,,,,,,,,,,,,,,,
6e13b40a-fc83-4156-8c80-93426bc1664d,97,107,99,,,,,,,,,,,,,,,,,
fdc9e348-a7d5-4efe-abc6-1cba55466918,78,89,84,,,,,,,,,,,,,,,,,
efbab194-e939-4a5d-86a7-3429072b0cbb,93,91,100,,,,,,,,,,,,,,,,,
77753331-f7bc-4c1c-b95f-7821bb6c52f3,100,68,124,,,,,,,,,,,,,,,,,
c38a60d6-56b0-4f18-a8f5-6e73c18f56ca,106,87,73,,,,,,,,,,,,,,,,,
cea2dd33-ad2f-4429-bba6-33546faa6eb7,112,107,107,,,,,,,,,,,,,,,,,
e234e72c-5818-4280-b0a0-3b089ca9a578,99,106,129,,,,,,,,,,,,,,,,,
8fb3d0d3-917b-4aa5-806b-526bbcba425c,104,92,116,,,,,,,,,,,,,,,,,
5d2a935f-735f-42a3-8487-ce7129ff605e,108,91,84,,,,,,,,,,,,,,,,,
d6b2b6a9-38c0-4365-857e-f577ba366207,92,79,126,,,,,,,,,,,,,,,,,
2dff99a3-dddf-4423-9dc6-59d4bd840c54,122,88,95,,,,,,,,,,,,,,,,,
63ed5b8c-8470-4762-af50-87fac87b5e91,96,112,87,,,,,,,,,,,,,,,,,
7beca308-4e5d-4ea2-8aac-58394f97f3e3,112,118,86,,,,,,,,,,,,,,,,,
b84864f0-3309-464c-8caf-5d46bb93066f,90,84,99,,,,,,,,,,,,,,,,,
fail 3 in turn: 43,,,,,,,,,,,,,,,,,,,,
7fe12b32-3b83-420b-9016-493cb9748980,82,107,120,,,,,,,,,,,,,,,,,
6353fcca-88d5-4945-8dab-04542a3a72fa,92,93,97,,,,,,,,,,,,,,,,,
8a164c23-9c75-4102-bc7d-32e35bb8664c,125,123,98,,,,,,,,,,,,,,,,,
bf213aec-4693-4e1a-b3c4-324f08ad735e,130,97,99,,,,,,,,,,,,,,,,,
1a89bdd2-0d73-4913-a341-bd667ce7c289,82,70,100,,,,,,,,,,,,,,,,,
a1cb2da9-155c-4d53-a985-40e76904c890,109,100,119,,,,,,,,,,,,,,,,,
fda46382-6438-4932-896a-dcc6c5136f26,87,129,118,,,,,,,,,,,,,,,,,
c5aa9997-9876-4f1c-9b1c-aabcc21231d6,123,89,96,,,,,,,,,,,,,,,,,
aaa5dabd-c512-432b-8401-acf86bca9d2b,88,93,106,,,,,,,,,,,,,,,,,
74b1b332-a4bf-4e1e-a61e-ab226898ca11,71,128,120,,,,,,,,,,,,,,,,,
a7ba7eb9-66d9-4b35-84e2-6503739cfaae,92,138,102,,,,,,,,,,,,,,,,,
69daeed7-71e0-41f2-a32c-db78780d57c8,105,103,129,,,,,,,,,,,,,,,,,
c8fb110b-b9db-4770-84f4-a8e97f0603d5,102,103,104,,,,,,,,,,,,,,,,,
b3a5e826-4548-4e25-b132-c30b4431e042,78,104,87,,,,,,,,,,,,,,,,,
ce0db64b-ba6d-40d8-aa9b-e9713eb45db6,138,118,115,,,,,,,,,,,,,,,,,
d590e9d2-045e-4d30-a664-deb86fb232fe,97,83,94,,,,,,,,,,,,,,,,,
9fd4cc97-02f2-4c70-bf75-a9bd15ebe8fd,99,68,96,,,,,,,,,,,,,,,,,
9402ccda-60a6-437e-8554-b30e8a3192c1,132,117,105,,,,,,,,,,,,,,,,,
3257e92c-be80-4d61-9d03-6d26b0738d1f,70,105,101,,,,,,,,,,,,,,,,,
1b8d1ebf-bfa3-433d-bf27-13db8388ea0e,71,90,110,,,,,,,,,,,,,,,,,
fail 3 in turn: 41,,,,,,,,,,,,,,,,,,,,
d387d3ed-ffbc-403d-bb1a-77b3fb1e87ba,97,84,102,,,,,,,,,,,,,,,,,
2ab9cbf7-4cb1-4b84-bbd8-4ff15e5ef097,118,94,127,,,,,,,,,,,,,,,,,
0d0b2369-b475-491b-a68b-e2fa972ac16f,87,95,90,,,,,,,,,,,,,,,,,
f96be616-b927-4b77-9886-da32c19f8dac,78,105,74,,,,,,,,,,,,,,,,,
d1edb190-332c-4374-a676-899cdcb21dfb,111,103,75,,,,,,,,,,,,,,,,,
be25ed55-fb90-4266-9f34-55e7380f34ee,94,94,74,,,,,,,,,,,,,,,,,
1cf0f7f8-85b7-4eca-9b1a-870b55093fb0,99,61,134,,,,,,,,,,,,,,,,,
cc0b3cd0-8f06-4260-8a0d-b93a3948bc12,119,91,94,,,,,,,,,,,,,,,,,
fail 3 in turn: 42,,,,,,,,,,,,,,,,,,,,
33916fda-542c-42fc-9fef-290b6962f4bf,104,83,101,,,,,,,,,,,,,,,,,
545277c2-d81e-4cd6-a948-1523c293cadd,83,83,110,,,,,,,,,,,,,,,,,
daee6217-2694-4f5e-bb25-e777c69e2563,91,109,101,,,,,,,,,,,,,,,,,
e2bf6993-82eb-41d6-82ad-ca849ad20a63,94,110,93,,,,,,,,,,,,,,,,,
7cdc69a9-a1af-4605-95d7-dc21d1191762,115,85,96,,,,,,,,,,,,,,,,,
47801593-3839-4207-8cf7-758640bc11c8,84,86,122,,,,,,,,,,,,,,,,,
4d6a74ae-0d76-44dd-a5b1-54eadba47591,95,82,70,,,,,,,,,,,,,,,,,
62e6d53f-834c-4b9f-bb87-5b7e27eef399,95,107,79,,,,,,,,,,,,,,,,,
cfefb66a-2ebb-44fe-8493-7cd20b194bc0,103,91,103,,,,,,,,,,,,,,,,,
070bb4e7-a279-4ef0-b8a6-e24bfab91950,118,100,84,,,,,,,,,,,,,,,,,
f7d689c8-20e3-4a07-9b6c-5d0c4ebad6c6,95,69,110,,,,,,,,,,,,,,,,,
34d1a632-1a43-48e5-9452-748fb07cdb09,63,108,93,,,,,,,,,,,,,,,,,
6d87ab89-8647-4285-97e8-b33590f4e97d,84,82,101,,,,,,,,,,,,,,,,,
f8489070-cafe-4bb9-9b1d-d3e2a8c1ecb7,116,85,79,,,,,,,,,,,,,,,,,
f7f85f19-4ee8-4925-8e20-22c5678b41e7,116,86,115,,,,,,,,,,,,,,,,,
6c6bcbbe-48a3-4aca-862c-25736e576139,107,87,76,,,,,,,,,,,,,,,,,
3680cea2-0f60-4901-bdbb-f62cadef708a,125,127,90,,,,,,,,,,,,,,,,,
d8a64e78-3a64-495a-84e3-98de7665f18c,84,147,106,,,,,,,,,,,,,,,,,
1718592f-0eaf-472c-9cdb-b8165f8d312b,91,97,75,,,,,,,,,,,,,,,,,
de5331c2-3330-4b80-a883-af9f87efc889,108,84,96,,,,,,,,,,,,,,,,,
b4bde909-a3ec-4f1c-b132-17f50d3a4adc,57,78,107,,,,,,,,,,,,,,,,,
e081a688-2702-45e0-8ef1-e6dcd0fc39d2,113,114,79,,,,,,,,,,,,,,,,,
f4785b97-a9a6-4974-89f4-7d507a846e36,111,98,111,,,,,,,,,,,,,,,,,
50c7c90a-3263-4884-9324-8894aa2cd812,124,96,119,,,,,,,,,,,,,,,,,
867fd4af-d983-4fa6-ba28-7d34e057f9c8,75,94,84,,,,,,,,,,,,,,,,,
e440a0bb-afd4-44bb-a1b8-16b009d03c69,100,104,91,,,,,,,,,,,,,,,,,
db2b570c-19ca-497a-989a-572cf7b859e5,93,76,108,,,,,,,,,,,,,,,,,
9ce39327-979b-4687-abd3-cb49cda961e4,98,90,118,,,,,,,,,,,,,,,,,
b42a22a6-8d8b-4a39-86c7-eb920e9795f1,69,100,119,,,,,,,,,,,,,,,,,
85df8fb4-59fa-4de8-8e1f-7beac364c4f7,110,94,116,,,,,,,,,,,,,,,,,
0b028aa7-da52-409d-abbb-8a55aca888c9,102,107,111,,,,,,,,,,,,,,,,,
9466d916-ba56-49b0-8bd0-3ca40ac1a5a3,105,133,85,,,,,,,,,,,,,,,,,
2258da5f-60c0-444a-ac72-89140d19ec2e,74,103,114,,,,,,,,,,,,,,,,,
4e8248af-f665-4423-b651-c37fe5f49d46,110,94,94,,,,,,,,,,,,,,,,,
600495f9-3fe0-4b39-9b3c-06fb4bf747c0,101,121,117,,,,,,,,,,,,,,,,,
34f6537c-8fc3-4251-a1ad-c3b50938682f,82,139,87,,,,,,,,,,,,,,,,,
fee170a7-094f-46b5-81f8-0e7ba4568449,83,94,109,,,,,,,,,,,,,,,,,
37b596fb-c99d-43fb-934e-2de980d3cd92,124,86,105,,,,,,,,,,,,,,,,,
69d3c5a8-b2a2-419b-82bd-5e3f60a5466d,101,66,101,,,,,,,,,,,,,,,,,
191d6c03-d944-4753-ae46-79ab05e2b693,81,87,87,,,,,,,,,,,,,,,,,
e92893da-5c7a-4c81-8bb3-c03581e4f42d,119,128,113,,,,,,,,,,,,,,,,,
309c2eaa-83e2-46b9-a88e-35fef9e8b36f,81,108,106,,,,,,,,,,,,,,,,,
80fcdc04-d42d-46b6-9168-84e2b665b26a,63,116,89,,,,,,,,,,,,,,,,,
fail 3 in turn: 45,,,,,,,,,,,,,,,,,,,,
5b4da061-7855-4e01-be31-2fbe8aa0ddf5,116,126,107,,,,,,,,,,,,,,,,,
a4e856b1-9f0f-43aa-8f16-847b475077cd,99,122,94,,,,,,,,,,,,,,,,,
b1b50558-282c-4aec-b213-0cefe00e27a7,100,113,119,,,,,,,,,,,,,,,,,
e5d5e6ff-2139-4c9d-b847-7cf791cd075f,107,92,87,,,,,,,,,,,,,,,,,
ad1286fb-b878-4322-89cb-1f789a9bbdb4,85,62,92,,,,,,,,,,,,,,,,,
fail 3 in turn: 40,,,,,,,,,,,,,,,,,,,,
58e29b88-841a-479a-a1ca-f31ab8dfce94,122,107,117,,,,,,,,,,,,,,,,,
1e22512b-712d-4575-bb0d-eeb897058dc0,80,117,109,,,,,,,,,,,,,,,,,
8a3e8f6f-e9ed-41fd-875b-2d90647a021a,103,73,93,,,,,,,,,,,,,,,,,
c5b81b43-368b-435e-bfbd-1399d7c9e259,129,100,105,,,,,,,,,,,,,,,,,
7dcb51bf-de24-4aed-9412-d277089f05dc,108,105,89,,,,,,,,,,,,,,,,,
d3557457-b920-4971-90ec-91a86af6702a,92,95,105,,,,,,,,,,,,,,,,,
480d6ac9-e105-4b5d-b623-dcc7abfb4f0e,106,116,112,,,,,,,,,,,,,,,,,
6ae5ee64-146a-456f-b126-ff3c6f793a27,72,109,84,,,,,,,,,,,,,,,,,
420755d6-30ee-44e1-9647-08735d419782,108,132,115,,,,,,,,,,,,,,,,,
498ddbbb-dfcd-4815-8fbc-e07c587b63e7,101,106,85,,,,,,,,,,,,,,,,,
00e331b0-8926-4556-ad9b-8f5eff97cdf1,97,107,97,,,,,,,,,,,,,,,,,
2102c902-6b8c-4dc1-ba8d-0f9acb662cc5,71,106,87,,,,,,,,,,,,,,,,,
dbc46f1a-5b8e-4bf4-9ae1-b393e83183a5,111,102,96,,,,,,,,,,,,,,,,,
81a2fe71-d87b-483f-8bf1-e320d8a433c8,95,81,69,,,,,,,,,,,,,,,,,
fail 3 in turn: 46,,,,,,,,,,,,,,,,,,,,
4d3c010d-f1ba-4e93-999b-6cb73caccbf9,88,76,135,,,,,,,,,,,,,,,,,
e7583917-c834-40a2-98ac-428b11fc787e,110,114,73,,,,,,,,,,,,,,,,,
a477ae1e-7181-4541-b999-74ae0d12b9a2,103,90,87,,,,,,,,,,,,,,,,,
805350b7-43c0-458c-8ecd-532bd577028a,106,121,132,,,,,,,,,,,,,,,,,
9c3a87d3-b249-4a7d-8c88-45e07116c410,56,97,91,,,,,,,,,,,,,,,,,
c8c0d34e-a811-4fb4-af0b-41de376c7d9f,92,87,79,,,,,,,,,,,,,,,,,
d8fbd678-bd00-4ba0-85d3-a6b27a654c20,102,107,102,,,,,,,,,,,,,,,,,
6e0ce426-4654-49c9-9f56-e5b28675208c,131,95,102,,,,,,,,,,,,,,,,,
7bb8e6df-3066-453e-a4f5-573aa4717116,118,95,69,,,,,,,,,,,,,,,,,
12fb821e-4281-425c-b16f-6db57518afc8,121,108,95,,,,,,,,,,,,,,,,,
cfd339fa-f7aa-4602-854f-d502473c2c9b,76,89,125,,,,,,,,,,,,,,,,,
f98244c9-2986-468b-b94e-78c71dea0106,128,132,103,,,,,,,,,,,,,,,,,
a7ba46ef-d574-4e3a-b77f-32c0ea983a6d,95,110,98,,,,,,,,,,,,,,,,,
9861acd7-0533-425e-a72a-7dc656439aca,82,108,90,,,,,,,,,,,,,,,,,
1be5579f-fa26-410f-a9a6-7c28139ecbc5,95,89,114,,,,,,,,,,,,,,,,,
dc94d4dd-35b5-4612-a57e-0e45b0b61239,127,111,92,,,,,,,,,,,,,,,,,
86e7b6b7-35a0-4013-9efc-263522b89a82,122,98,103,,,,,,,,,,,,,,,,,
eee3660c-1619-4e8a-a5a6-3513cf8db07d,111,88,112,,,,,,,,,,,,,,,,,
56573686-b2aa-451b-9d39-d353ebe9af41,98,103,105,,,,,,,,,,,,,,,,,
88793716-285f-4ca6-8bce-be8e4c9771af,101,178,112,,,,,,,,,,,,,,,,,
ba8110ec-7cf8-4ed6-ae42-93e055f1f931,105,92,87,,,,,,,,,,,,,,,,,
49dc6100-a6f6-485b-9392-6e763e4c43ef,109,109,102,,,,,,,,,,,,,,,,,
455a2197-6626-479e-bdfd-1897534aa25c,116,83,96,,,,,,,,,,,,,,,,,
c3370367-a8a6-4bb4-afb3-d526caa6aaa0,87,80,59,,,,,,,,,,,,,,,,,
2a933c66-e69a-4b95-b8ba-00e0e1601511,107,116,143,,,,,,,,,,,,,,,,,
9e0f545b-7fe8-45d8-94dd-a1a5efcc24f9,80,113,104,,,,,,,,,,,,,,,,,
dc0d7531-1db0-45ba-be33-c98184c7943f,96,68,91,,,,,,,,,,,,,,,,,
a747fdbd-da23-4b19-8648-60840222455f,102,111,91,,,,,,,,,,,,,,,,,
69b283f4-9180-4f8c-be2a-0eafcd562d9c,85,96,112,,,,,,,,,,,,,,,,,
7bdb7c53-5531-4a5b-8ec1-d7baf997821d,107,113,62,,,,,,,,,,,,,,,,,
3dab29da-3abd-4c5c-8a63-18ae3fb9bf6b,96,99,86,,,,,,,,,,,,,,,,,
fail 3 in turn: 40,,,,,,,,,,,,,,,,,,,,
686255a9-38fc-44b2-874f-b3295be8e4c8,111,109,116,,,,,,,,,,,,,,,,,
7dcf62aa-0fae-4214-9503-335be2c77347,122,97,112,,,,,,,,,,,,,,,,,
9522f7ac-810d-4dfd-9460-4cfc8161feba,99,120,80,,,,,,,,,,,,,,,,,
57b3828a-7ced-4086-923c-d0f7ca46aa41,94,107,79,,,,,,,,,,,,,,,,,
14d38f41-e714-4cc6-aa48-ad5a20923b90,69,91,98,,,,,,,,,,,,,,,,,
89b40fe1-f878-4e52-bec8-db9da076adb7,112,109,97,,,,,,,,,,,,,,,,,
388e17dd-22b2-4ba3-931f-2304122d72fa,95,107,91,,,,,,,,,,,,,,,,,
c662221d-62ef-4621-8126-df99bb7ca583,82,115,105,,,,,,,,,,,,,,,,,
909ea80b-c14e-40f9-9524-b12b040502a1,125,109,116,,,,,,,,,,,,,,,,,
53507ab6-0f77-4de0-922b-6984eb7236c5,121,113,96,,,,,,,,,,,,,,,,,
a3023803-5d96-43eb-8886-c6cde4e26b46,88,101,111,,,,,,,,,,,,,,,,,
44524c54-c8cf-4353-b07d-32ff4730048f,80,111,105,,,,,,,,,,,,,,,,,
04c7bd73-2318-42b0-ba42-3f10c35e5b8f,102,121,102,,,,,,,,,,,,,,,,,
d6d4b408-0ed2-4f15-aef0-856a81f38d97,97,77,117,,,,,,,,,,,,,,,,,
9714eace-1c9f-46d2-b710-5e2ea2ed406a,101,65,97,,,,,,,,,,,,,,,,,
7cdc96db-9413-4b78-b886-6322d8d14156,104,112,122,,,,,,,,,,,,,,,,,
1ebf7f8f-9df0-43ec-b13d-10f09d16cc3c,77,97,97,,,,,,,,,,,,,,,,,
4a2dbf51-f0b5-4a3e-98ae-d60fa786390e,104,105,119,,,,,,,,,,,,,,,,,
aa6634d3-8f71-4881-a0c8-7628d5ef6522,112,116,79,,,,,,,,,,,,,,,,,
0af756f1-f544-4057-9801-2e2f28d9d4de,62,107,95,,,,,,,,,,,,,,,,,
da168726-c544-4b17-85a1-e4af95e20a0a,99,111,109,,,,,,,,,,,,,,,,,
2dbb80cb-f247-468c-9832-601b24633e6c,89,87,98,,,,,,,,,,,,,,,,,
